scope,operator_or_method,route_class,nvidia_execution_path,source_file,in_full_config,int8_related_hint,note
aten,diag_embed,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,diagonal_backward,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,div.Scalar,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,div.Scalar_mode,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,div.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,div.Tensor_mode,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,div.out,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,div_.Scalar,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,div_.Scalar_mode,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,div_.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,div_.Tensor_mode,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,divide.Scalar,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,divide.Scalar_mode,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,divide.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,divide.Tensor_mode,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,divide_.Scalar,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,divide_.Scalar_mode,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,divide_.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,divide_.Tensor_mode,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,dot,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,elu,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,elu_,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,elu_backward,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,embedding,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,embedding_backward,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,eq.Scalar,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,eq.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,equal,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,erf,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,erf_,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,exp,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,exp.out,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,exp2,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,exp2_,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,exp_,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,exponential_,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,eye,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,eye.m,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,fill.Scalar,aten_patch_cpp,aten -> FlagGems C++ aten_patch (CUDA),src/flag_gems/csrc/aten_patch.cpp,true,false,"If also in _FULL_CONFIG, Python registration is excluded by cpp_patched_ops"
aten,fill.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,fill_.Scalar,aten_patch_cpp,aten -> FlagGems C++ aten_patch (CUDA),src/flag_gems/csrc/aten_patch.cpp,true,false,"If also in _FULL_CONFIG, Python registration is excluded by cpp_patched_ops"
aten,fill_.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,flip,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,floor_divide,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,floor_divide.Scalar,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,floor_divide_.Scalar,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,floor_divide_.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,full,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,full_like,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,gather,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,gather_backward,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,ge.Scalar,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,ge.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,gelu,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,gelu_,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,gelu_backward,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,glu,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,glu_backward,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,gt.Scalar,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,gt.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,hstack,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
